base,ano_de,ano_ate,posicao,header_arquivo,chave_normalizada,nome_canonico,tipo,separador,decimal,aspas,nulos,encoding
RAIS_DOMESTICO,2015,2017,1,muntrab,muntrab,mun_trab,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,2,cdsexo,cdsexo,sexo,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,3,cdracacor,cdracacor,raca_cor,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,4,cdgrauinstr,cdgrauinstr,grau_instrucao,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,5,cdmotivodeslig,cdmotivodeslig,motivo_desligamento,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,6,qtdhrsem,qtdhrsem,qtd_hora_contr,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,7,tpjornada,tpjornada,tipo_jornada,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,8,cdcbo,cdcbo,cbo_2002,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,9,sexoemp,sexoemp,sexo_empregador,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,10,munemp,munemp,municipio,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,11,DtAdm,dtadm,data_admissao,DATE,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,12,DtDes,dtdes,data_desligamento,DATE,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,13,indvinculoativo3112,indvinculoativo3112,vinculo_ativo_3112,BOOLEAN,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,14,ano,ano,ano_registro,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,15,idadetrab,idadetrab,idade,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_DOMESTICO,2015,2017,16,idadeemp,idadeemp,idade_empregador,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},utf-8
RAIS_ESTAB,2010,2012,1,Bairros SP,bairros_sp,bairro_sp,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,2,Bairros Fortaleza,bairros_fortaleza,bairro_fortaleza,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,3,Bairros RJ,bairros_rj,bairro_rj,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,4,CNAE 2.0 Classe,cnae_2_0_classe,cnae20_classe,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,5,CNAE 95 Classe,cnae_95_classe,cnae95_classe,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,6,Distritos SP,distritos_sp,distrito_sp,VARCHAR,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,7,Qtd Vínculos CLT,qtd_vinculos_clt,qtd_vinculos_clt,INTEGER,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,8,Qtd Vínculos Ativos,qtd_vinculos_ativos,qtd_vinculos_ativos,INTEGER,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,9,Qtd Vínculos Estatutários,qtd_vinculos_estatutarios,qtd_vinculos_estat,INTEGER,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,10,Ind Atividade Ano,ind_atividade_ano,ind_atividade_ano,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
RAIS_ESTAB,2010,2012,11,Ind CEI Vinculado,ind_cei_vinculado,ind_cei_vinculado,SMALLINT,;,",",,-1|{ñ class}|{ñ clas|{ñ c|{ñclass},cp1252
