cnae_classe,desc_classe,cnae_grupo,desc_grupo,cnae_divisao,desc_divisao,cnae_secao,desc_secao
01113,CULTIVO DE CEREAIS,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01121,CULTIVO DE ALGODÃO HERBÁCEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01130,CULTIVO DE CANA-DE-AÇÚCAR,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01148,CULTIVO DE FUMO,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01156,CULTIVO DE SOJA,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01164,"CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01211,HORTICULTURA,012,HORTICULTURA E FLORICULTURA,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01229,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS,012,HORTICULTURA E FLORICULTURA,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01318,CULTIVO DE LARANJA,013,PRODUÇÃO DE LAVOURAS PERMANENTES,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01326,CULTIVO DE UVA,013,PRODUÇÃO DE LAVOURAS PERMANENTES,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01334,"CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA",013,PRODUÇÃO DE LAVOURAS PERMANENTES,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01342,CULTIVO DE CAFÉ,013,PRODUÇÃO DE LAVOURAS PERMANENTES,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01351,CULTIVO DE CACAU,013,PRODUÇÃO DE LAVOURAS PERMANENTES,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01393,CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE,013,PRODUÇÃO DE LAVOURAS PERMANENTES,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01415,PRODUÇÃO DE SEMENTES CERTIFICADAS,014,PRODUÇÃO DE SEMENTES E MUDAS CERTIFICADAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01423,"PRODUÇÃO DE MUDAS E OUTRAS FORMAS DE PROPAGAÇÃO VEGETAL, CERTIFICADAS",014,PRODUÇÃO DE SEMENTES E MUDAS CERTIFICADAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01512,CRIAÇÃO DE BOVINOS,015,PECUÁRIA,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01521,CRIAÇÃO DE OUTROS ANIMAIS DE GRANDE PORTE,015,PECUÁRIA,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
01539,CRIAÇÃO DE CAPRINOS E OVINOS,015,PECUÁRIA,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
