cnae_subclasse,desc_subclasse,cnae_classe,desc_classe,cnae_grupo,desc_grupo,cnae_divisao,desc_divisao,cnae_secao,desc_secao
0111301,CULTIVO DE ARROZ,01113,CULTIVO DE CEREAIS,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0111302,CULTIVO DE MILHO,01113,CULTIVO DE CEREAIS,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0111303,CULTIVO DE TRIGO,01113,CULTIVO DE CEREAIS,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0111399,CULTIVO DE OUTROS CEREAIS NÃO ESPECIFICADOS ANTERIORMENTE,01113,CULTIVO DE CEREAIS,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0112101,CULTIVO DE ALGODÃO HERBÁCEO,01121,CULTIVO DE ALGODÃO HERBÁCEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0112102,CULTIVO DE JUTA,01121,CULTIVO DE ALGODÃO HERBÁCEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0112199,CULTIVO DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,01121,CULTIVO DE ALGODÃO HERBÁCEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0113000,CULTIVO DE CANA DE AÇÚCAR,01130,CULTIVO DE CANA-DE-AÇÚCAR,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0114800,CULTIVO DE FUMO,01148,CULTIVO DE FUMO,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0115600,CULTIVO DE SOJA,01156,CULTIVO DE SOJA,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0116401,CULTIVO DE AMENDOIM,01164,"CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0116402,CULTIVO DE GIRASSOL,01164,"CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0116403,CULTIVO DE MAMONA,01164,"CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0116499,CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,01164,"CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119901,CULTIVO DE ABACAXI,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119902,CULTIVO DE ALHO,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119903,CULTIVO DE BATATA INGLESA,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119904,CULTIVO DE CEBOLA,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119905,CULTIVO DE FEIJÃO,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119906,CULTIVO DE MANDIOCA,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119907,CULTIVO DE MELÃO,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119908,CULTIVO DE MELANCIA,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119909,CULTIVO DE TOMATE RASTEIRO,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0119999,CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,01199,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0121101,"HORTICULTURA, EXCETO MORANGO",01211,HORTICULTURA,012,HORTICULTURA E FLORICULTURA,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0121102,CULTIVO DE MORANGO,01211,HORTICULTURA,012,HORTICULTURA E FLORICULTURA,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0122900,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS,01229,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS,012,HORTICULTURA E FLORICULTURA,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0131800,CULTIVO DE LARANJA,01318,CULTIVO DE LARANJA,013,PRODUÇÃO DE LAVOURAS PERMANENTES,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0132600,CULTIVO DE UVA,01326,CULTIVO DE UVA,013,PRODUÇÃO DE LAVOURAS PERMANENTES,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
