variavel,codigo,rotulo,confianca,observacao
sexo,1,Masculino,alta,
sexo,2,Feminino,alta,
raca_cor,1,Indígena,alta,
raca_cor,2,Branca,alta,
raca_cor,4,Preta,alta,
raca_cor,6,Amarela,alta,
raca_cor,8,Parda,alta,
raca_cor,9,Não identificado,alta,
raca_cor,-1,Ignorado,alta,
grau_instrucao,1,Analfabeto,alta,
grau_instrucao,2,Até 5º ano incompleto do fundamental,alta,
grau_instrucao,3,5º ano completo do fundamental,alta,
grau_instrucao,4,6º ao 9º ano do fundamental,alta,
grau_instrucao,5,Fundamental completo,alta,
grau_instrucao,6,Médio incompleto,alta,
grau_instrucao,7,Médio completo,alta,
grau_instrucao,8,Superior incompleto,alta,
grau_instrucao,9,Superior completo,alta,
grau_instrucao,10,Mestrado,alta,
grau_instrucao,11,Doutorado,alta,
grau_instrucao,-1,Ignorado,alta,
faixa_etaria,1,10 a 14 anos,alta,
faixa_etaria,2,15 a 17 anos,alta,
faixa_etaria,3,18 a 24 anos,alta,
faixa_etaria,4,25 a 29 anos,alta,
faixa_etaria,5,30 a 39 anos,alta,
faixa_etaria,6,40 a 49 anos,alta,
faixa_etaria,7,50 a 64 anos,alta,
faixa_etaria,8,65 anos ou mais,alta,
faixa_etaria,-1,Ignorado,alta,
faixa_hora_contrat,1,Até 12 horas,alta,
faixa_hora_contrat,2,13 a 15 horas,alta,
faixa_hora_contrat,3,16 a 20 horas,alta,
faixa_hora_contrat,4,21 a 30 horas,alta,
faixa_hora_contrat,5,31 a 40 horas,alta,
faixa_hora_contrat,6,41 a 44 horas,alta,
faixa_hora_contrat,7,Acima de 44 horas,alta,
faixa_hora_contrat,-1,Ignorado,alta,
faixa_tempo_emprego,1,"Até 2,9 meses",alta,
faixa_tempo_emprego,2,"3,0 a 5,9 meses",alta,
faixa_tempo_emprego,3,"6,0 a 11,9 meses",alta,
faixa_tempo_emprego,4,"12,0 a 23,9 meses",alta,
faixa_tempo_emprego,5,"24,0 a 35,9 meses",alta,
faixa_tempo_emprego,6,"36,0 a 59,9 meses",alta,
faixa_tempo_emprego,7,"60,0 a 119,9 meses",alta,
faixa_tempo_emprego,8,"120,0 meses ou mais",alta,
faixa_tempo_emprego,-1,Ignorado,alta,
faixa_remun_media_sm,0,"Até 0,50 SM",alta,
faixa_remun_media_sm,1,"0,51 a 1,00 SM",alta,
faixa_remun_media_sm,2,"1,01 a 1,50 SM",alta,
faixa_remun_media_sm,3,"1,51 a 2,00 SM",alta,
faixa_remun_media_sm,4,"2,01 a 3,00 SM",alta,
faixa_remun_media_sm,5,"3,01 a 4,00 SM",alta,
faixa_remun_media_sm,6,"4,01 a 5,00 SM",alta,
faixa_remun_media_sm,7,"5,01 a 7,00 SM",alta,
faixa_remun_media_sm,8,"7,01 a 10,00 SM",alta,
faixa_remun_media_sm,9,"10,01 a 15,00 SM",alta,
faixa_remun_media_sm,10,"15,01 a 20,00 SM",alta,
faixa_remun_media_sm,11,"Mais de 20,00 SM",alta,
faixa_remun_media_sm,99,Ignorado,alta,
faixa_remun_media_sm,-1,Ignorado,alta,
faixa_remun_dez_sm,0,"Até 0,50 SM",alta,
faixa_remun_dez_sm,1,"0,51 a 1,00 SM",alta,
faixa_remun_dez_sm,2,"1,01 a 1,50 SM",alta,
faixa_remun_dez_sm,3,"1,51 a 2,00 SM",alta,
faixa_remun_dez_sm,4,"2,01 a 3,00 SM",alta,
faixa_remun_dez_sm,5,"3,01 a 4,00 SM",alta,
faixa_remun_dez_sm,6,"4,01 a 5,00 SM",alta,
faixa_remun_dez_sm,7,"5,01 a 7,00 SM",alta,
faixa_remun_dez_sm,8,"7,01 a 10,00 SM",alta,
faixa_remun_dez_sm,9,"10,01 a 15,00 SM",alta,
faixa_remun_dez_sm,10,"15,01 a 20,00 SM",alta,
