ano,salario_minimo_dez,ipca_dez,deflator,ano_base_deflator
2010,510.00,3195.8900,2.31650338,2025
2011,545.00,3403.7300,2.17505208,2025
2012,622.00,3602.4600,2.05506515,2025
2013,678.00,3815.3900,1.94037569,2025
2014,724.00,4059.8600,1.82353332,2025
2015,788.00,4493.1700,1.64767636,2025
2016,880.00,4775.7000,1.55019997,2025
2017,937.00,4916.4600,1.50581719,2025
2018,954.00,5100.6100,1.45145189,2025
2019,998.00,5320.2500,1.39153047,2025
2020,1045.00,5560.5900,1.33138570,2025
2021,1100.00,6120.0400,1.20968000,2025
2022,1212.00,6474.0900,1.14352596,2025
2023,1320.00,6773.2700,1.09301563,2025
2024,1412.00,7100.5000,1.04264348,2025
2025,1518.00,7403.2900,1.00000000,2025
