cod_mun,cod_mun7,nome_mun,uf,cod_uf,uf_nome,regiao,mesorregiao,microrregiao,reg_imediata,reg_intermediaria
110001,1100015,Alta Floresta D'Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110002,1100023,Ariquemes,RO,11,Rondônia,Norte,Leste Rondoniense,Ariquemes,Ariquemes,Porto Velho
110003,1100031,Cabixi,RO,11,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,Vilhena,Ji-Paraná
110004,1100049,Cacoal,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110005,1100056,Cerejeiras,RO,11,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,Vilhena,Ji-Paraná
110006,1100064,Colorado do Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,Vilhena,Ji-Paraná
110007,1100072,Corumbiara,RO,11,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,Vilhena,Ji-Paraná
110008,1100080,Costa Marques,RO,11,Rondônia,Norte,Madeira-Guaporé,Guajará-Mirim,Ji-Paraná,Ji-Paraná
110009,1100098,Espigão D'Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110010,1100106,Guajará-Mirim,RO,11,Rondônia,Norte,Madeira-Guaporé,Guajará-Mirim,Porto Velho,Porto Velho
110011,1100114,Jaru,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Jaru,Porto Velho
110012,1100122,Ji-Paraná,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná
110013,1100130,Machadinho D'Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Ariquemes,Jaru,Porto Velho
110014,1100148,Nova Brasilândia D'Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste,Cacoal,Ji-Paraná
110015,1100155,Ouro Preto do Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná
110018,1100189,Pimenta Bueno,RO,11,Rondônia,Norte,Leste Rondoniense,Vilhena,Cacoal,Ji-Paraná
110020,1100205,Porto Velho,RO,11,Rondônia,Norte,Madeira-Guaporé,Porto Velho,Porto Velho,Porto Velho
110025,1100254,Presidente Médici,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná
110026,1100262,Rio Crespo,RO,11,Rondônia,Norte,Leste Rondoniense,Ariquemes,Ariquemes,Porto Velho
110028,1100288,Rolim de Moura,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110029,1100296,Santa Luzia D'Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110030,1100304,Vilhena,RO,11,Rondônia,Norte,Leste Rondoniense,Vilhena,Vilhena,Ji-Paraná
110032,1100320,São Miguel do Guaporé,RO,11,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste,Ji-Paraná,Ji-Paraná
110033,1100338,Nova Mamoré,RO,11,Rondônia,Norte,Madeira-Guaporé,Porto Velho,Porto Velho,Porto Velho
110034,1100346,Alvorada D'Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste,Ji-Paraná,Ji-Paraná
110037,1100379,Alto Alegre dos Parecis,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110040,1100403,Alto Paraíso,RO,11,Rondônia,Norte,Leste Rondoniense,Ariquemes,Ariquemes,Porto Velho
110045,1100452,Buritis,RO,11,Rondônia,Norte,Madeira-Guaporé,Porto Velho,Ariquemes,Porto Velho
110050,1100502,Novo Horizonte do Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110060,1100601,Cacaulândia,RO,11,Rondônia,Norte,Leste Rondoniense,Ariquemes,Ariquemes,Porto Velho
110070,1100700,Campo Novo de Rondônia,RO,11,Rondônia,Norte,Madeira-Guaporé,Porto Velho,Ariquemes,Porto Velho
110080,1100809,Candeias do Jamari,RO,11,Rondônia,Norte,Madeira-Guaporé,Porto Velho,Porto Velho,Porto Velho
110090,1100908,Castanheiras,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110092,1100924,Chupinguaia,RO,11,Rondônia,Norte,Leste Rondoniense,Vilhena,Vilhena,Ji-Paraná
110094,1100940,Cujubim,RO,11,Rondônia,Norte,Madeira-Guaporé,Porto Velho,Ariquemes,Porto Velho
110100,1101005,Governador Jorge Teixeira,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Jaru,Porto Velho
110110,1101104,Itapuã do Oeste,RO,11,Rondônia,Norte,Madeira-Guaporé,Porto Velho,Porto Velho,Porto Velho
110120,1101203,Ministro Andreazza,RO,11,Rondônia,Norte,Leste Rondoniense,Cacoal,Cacoal,Ji-Paraná
110130,1101302,Mirante da Serra,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná
110140,1101401,Monte Negro,RO,11,Rondônia,Norte,Leste Rondoniense,Ariquemes,Ariquemes,Porto Velho
110143,1101435,Nova União,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná
110145,1101450,Parecis,RO,11,Rondônia,Norte,Leste Rondoniense,Vilhena,Cacoal,Ji-Paraná
110146,1101468,Pimenteiras do Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,Vilhena,Ji-Paraná
110147,1101476,Primavera de Rondônia,RO,11,Rondônia,Norte,Leste Rondoniense,Vilhena,Cacoal,Ji-Paraná
110148,1101484,São Felipe D'Oeste,RO,11,Rondônia,Norte,Leste Rondoniense,Vilhena,Cacoal,Ji-Paraná
110149,1101492,São Francisco do Guaporé,RO,11,Rondônia,Norte,Madeira-Guaporé,Guajará-Mirim,Ji-Paraná,Ji-Paraná
110150,1101500,Seringueiras,RO,11,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste,Ji-Paraná,Ji-Paraná
110155,1101559,Teixeirópolis,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná
110160,1101609,Theobroma,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Jaru,Porto Velho
110170,1101708,Urupá,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná
110175,1101757,Vale do Anari,RO,11,Rondônia,Norte,Leste Rondoniense,Ariquemes,Jaru,Porto Velho
110180,1101807,Vale do Paraíso,RO,11,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná
120001,1200013,Acrelândia,AC,12,Acre,Norte,Vale do Acre,Rio Branco,Rio Branco,Rio Branco
120005,1200054,Assis Brasil,AC,12,Acre,Norte,Vale do Acre,Brasiléia,Brasiléia,Rio Branco
120010,1200104,Brasiléia,AC,12,Acre,Norte,Vale do Acre,Brasiléia,Brasiléia,Rio Branco
120013,1200138,Bujari,AC,12,Acre,Norte,Vale do Acre,Rio Branco,Rio Branco,Rio Branco
120017,1200179,Capixaba,AC,12,Acre,Norte,Vale do Acre,Rio Branco,Rio Branco,Rio Branco
120020,1200203,Cruzeiro do Sul,AC,12,Acre,Norte,Vale do Juruá,Cruzeiro do Sul,Cruzeiro do Sul,Cruzeiro do Sul
120025,1200252,Epitaciolândia,AC,12,Acre,Norte,Vale do Acre,Brasiléia,Brasiléia,Rio Branco
120030,1200302,Feijó,AC,12,Acre,Norte,Vale do Juruá,Tarauacá,Tarauacá,Cruzeiro do Sul
120032,1200328,Jordão,AC,12,Acre,Norte,Vale do Juruá,Tarauacá,Tarauacá,Cruzeiro do Sul
120033,1200336,Mâncio Lima,AC,12,Acre,Norte,Vale do Juruá,Cruzeiro do Sul,Cruzeiro do Sul,Cruzeiro do Sul
120034,1200344,Manoel Urbano,AC,12,Acre,Norte,Vale do Acre,Sena Madureira,Sena Madureira,Rio Branco
120035,1200351,Marechal Thaumaturgo,AC,12,Acre,Norte,Vale do Juruá,Cruzeiro do Sul,Cruzeiro do Sul,Cruzeiro do Sul
120038,1200385,Plácido de Castro,AC,12,Acre,Norte,Vale do Acre,Rio Branco,Rio Branco,Rio Branco
120039,1200393,Porto Walter,AC,12,Acre,Norte,Vale do Juruá,Cruzeiro do Sul,Cruzeiro do Sul,Cruzeiro do Sul
120040,1200401,Rio Branco,AC,12,Acre,Norte,Vale do Acre,Rio Branco,Rio Branco,Rio Branco
120042,1200427,Rodrigues Alves,AC,12,Acre,Norte,Vale do Juruá,Cruzeiro do Sul,Cruzeiro do Sul,Cruzeiro do Sul
120043,1200435,Santa Rosa do Purus,AC,12,Acre,Norte,Vale do Acre,Sena Madureira,Sena Madureira,Rio Branco
120045,1200450,Senador Guiomard,AC,12,Acre,Norte,Vale do Acre,Rio Branco,Rio Branco,Rio Branco
120050,1200500,Sena Madureira,AC,12,Acre,Norte,Vale do Acre,Sena Madureira,Sena Madureira,Rio Branco
120060,1200609,Tarauacá,AC,12,Acre,Norte,Vale do Juruá,Tarauacá,Tarauacá,Cruzeiro do Sul
120070,1200708,Xapuri,AC,12,Acre,Norte,Vale do Acre,Brasiléia,Brasiléia,Rio Branco
120080,1200807,Porto Acre,AC,12,Acre,Norte,Vale do Acre,Rio Branco,Rio Branco,Rio Branco
130002,1300029,Alvarães,AM,13,Amazonas,Norte,Centro Amazonense,Tefé,Tefé,Tefé
130006,1300060,Amaturá,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tabatinga,Tefé
130008,1300086,Anamã,AM,13,Amazonas,Norte,Centro Amazonense,Coari,Manacapuru,Manaus
130010,1300102,Anori,AM,13,Amazonas,Norte,Centro Amazonense,Coari,Coari,Manaus
130014,1300144,Apuí,AM,13,Amazonas,Norte,Sul Amazonense,Madeira,Manicoré,Lábrea
130020,1300201,Atalaia do Norte,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tabatinga,Tefé
130030,1300300,Autazes,AM,13,Amazonas,Norte,Centro Amazonense,Manaus,Manaus,Manaus
130040,1300409,Barcelos,AM,13,Amazonas,Norte,Norte Amazonense,Rio Negro,São Gabriel da Cachoeira,Manaus
130050,1300508,Barreirinha,AM,13,Amazonas,Norte,Centro Amazonense,Parintins,Parintins,Parintins
130060,1300607,Benjamin Constant,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tabatinga,Tefé
130063,1300631,Beruri,AM,13,Amazonas,Norte,Centro Amazonense,Coari,Coari,Manaus
130068,1300680,Boa Vista do Ramos,AM,13,Amazonas,Norte,Centro Amazonense,Parintins,Parintins,Parintins
130070,1300706,Boca do Acre,AM,13,Amazonas,Norte,Sul Amazonense,Boca do Acre,Lábrea,Lábrea
130080,1300805,Borba,AM,13,Amazonas,Norte,Sul Amazonense,Madeira,Manaus,Manaus
130083,1300839,Caapiranga,AM,13,Amazonas,Norte,Centro Amazonense,Coari,Manacapuru,Manaus
130090,1300904,Canutama,AM,13,Amazonas,Norte,Sul Amazonense,Purus,Lábrea,Lábrea
130100,1301001,Carauari,AM,13,Amazonas,Norte,Sudoeste Amazonense,Juruá,Tefé,Tefé
130110,1301100,Careiro,AM,13,Amazonas,Norte,Centro Amazonense,Manaus,Manaus,Manaus
130115,1301159,Careiro da Várzea,AM,13,Amazonas,Norte,Centro Amazonense,Manaus,Manaus,Manaus
130120,1301209,Coari,AM,13,Amazonas,Norte,Centro Amazonense,Coari,Coari,Manaus
130130,1301308,Codajás,AM,13,Amazonas,Norte,Centro Amazonense,Coari,Coari,Manaus
130140,1301407,Eirunepé,AM,13,Amazonas,Norte,Sudoeste Amazonense,Juruá,Eirunepé,Tefé
130150,1301506,Envira,AM,13,Amazonas,Norte,Sudoeste Amazonense,Juruá,Eirunepé,Tefé
130160,1301605,Fonte Boa,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tefé,Tefé
130165,1301654,Guajará,AM,13,Amazonas,Norte,Sudoeste Amazonense,Juruá,Eirunepé,Tefé
130170,1301704,Humaitá,AM,13,Amazonas,Norte,Sul Amazonense,Madeira,Manicoré,Lábrea
130180,1301803,Ipixuna,AM,13,Amazonas,Norte,Sudoeste Amazonense,Juruá,Eirunepé,Tefé
130185,1301852,Iranduba,AM,13,Amazonas,Norte,Centro Amazonense,Manaus,Manaus,Manaus
130190,1301902,Itacoatiara,AM,13,Amazonas,Norte,Centro Amazonense,Itacoatiara,Itacoatiara,Parintins
130195,1301951,Itamarati,AM,13,Amazonas,Norte,Sudoeste Amazonense,Juruá,Eirunepé,Tefé
130200,1302009,Itapiranga,AM,13,Amazonas,Norte,Centro Amazonense,Itacoatiara,Itacoatiara,Parintins
130210,1302108,Japurá,AM,13,Amazonas,Norte,Norte Amazonense,Japurá,Tefé,Tefé
130220,1302207,Juruá,AM,13,Amazonas,Norte,Sudoeste Amazonense,Juruá,Tefé,Tefé
130230,1302306,Jutaí,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tefé,Tefé
130240,1302405,Lábrea,AM,13,Amazonas,Norte,Sul Amazonense,Purus,Lábrea,Lábrea
130250,1302504,Manacapuru,AM,13,Amazonas,Norte,Centro Amazonense,Manaus,Manacapuru,Manaus
130255,1302553,Manaquiri,AM,13,Amazonas,Norte,Centro Amazonense,Manaus,Manaus,Manaus
130260,1302603,Manaus,AM,13,Amazonas,Norte,Centro Amazonense,Manaus,Manaus,Manaus
130270,1302702,Manicoré,AM,13,Amazonas,Norte,Sul Amazonense,Madeira,Manicoré,Lábrea
130280,1302801,Maraã,AM,13,Amazonas,Norte,Norte Amazonense,Japurá,Tefé,Tefé
130290,1302900,Maués,AM,13,Amazonas,Norte,Centro Amazonense,Parintins,Parintins,Parintins
130300,1303007,Nhamundá,AM,13,Amazonas,Norte,Centro Amazonense,Parintins,Parintins,Parintins
130310,1303106,Nova Olinda do Norte,AM,13,Amazonas,Norte,Centro Amazonense,Itacoatiara,Manaus,Manaus
130320,1303205,Novo Airão,AM,13,Amazonas,Norte,Norte Amazonense,Rio Negro,Manacapuru,Manaus
130330,1303304,Novo Aripuanã,AM,13,Amazonas,Norte,Sul Amazonense,Madeira,Manicoré,Lábrea
130340,1303403,Parintins,AM,13,Amazonas,Norte,Centro Amazonense,Parintins,Parintins,Parintins
130350,1303502,Pauini,AM,13,Amazonas,Norte,Sul Amazonense,Boca do Acre,Lábrea,Lábrea
130353,1303536,Presidente Figueiredo,AM,13,Amazonas,Norte,Centro Amazonense,Rio Preto da Eva,Manaus,Manaus
130356,1303569,Rio Preto da Eva,AM,13,Amazonas,Norte,Centro Amazonense,Rio Preto da Eva,Manaus,Manaus
130360,1303601,Santa Isabel do Rio Negro,AM,13,Amazonas,Norte,Norte Amazonense,Rio Negro,São Gabriel da Cachoeira,Manaus
130370,1303700,Santo Antônio do Içá,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tabatinga,Tefé
130380,1303809,São Gabriel da Cachoeira,AM,13,Amazonas,Norte,Norte Amazonense,Rio Negro,São Gabriel da Cachoeira,Manaus
130390,1303908,São Paulo de Olivença,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tabatinga,Tefé
130395,1303957,São Sebastião do Uatumã,AM,13,Amazonas,Norte,Centro Amazonense,Parintins,Itacoatiara,Parintins
130400,1304005,Silves,AM,13,Amazonas,Norte,Centro Amazonense,Itacoatiara,Itacoatiara,Parintins
130406,1304062,Tabatinga,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tabatinga,Tefé
130410,1304104,Tapauá,AM,13,Amazonas,Norte,Sul Amazonense,Purus,Lábrea,Lábrea
130420,1304203,Tefé,AM,13,Amazonas,Norte,Centro Amazonense,Tefé,Tefé,Tefé
130423,1304237,Tonantins,AM,13,Amazonas,Norte,Sudoeste Amazonense,Alto Solimões,Tabatinga,Tefé
