arquivo,arquivo_interno,bytes_internos,base,ano,recorte,encoding,separador,decimal_virgula,n_colunas,esquema_casado,veredito,divergencias,colunas,amostra_1a_linha
E:\pdet\00_raw\pdet\microdados\RAIS\2010\AC2010.7z,AC2010.txt,53996022,RAIS_VINCULOS,2010,AC,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};           {ñ class};           {ñ class};99;99;99;11;632120;16102;20109;           {ñ class};0;05;06;00;02;03;                  01;  44;  36;0;0;06;12;120040;120017;10;2062;0;   0;08;0000;0000000765,00;000001,50;0000000765,00;000001,50;1610201;                  01;06;     6,5;02;01;CNPJ                ;00;10"
E:\pdet\00_raw\pdet\microdados\RAIS\2010\AL2010.7z,AL2010.txt,211345182,RAIS_VINCULOS,2010,AL,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};           {ñ class};           {ñ class};99;99;99;11;513425;47890;52493;           {ñ class};0;04;06;00;02;05;                  01;  44;  27;0;0;00;12;000000;270430;10;2062;0;   0;02;0000;0000000576,83;000001,13;0000000570,35;000001,11;4789002;                  01;04;    35,9;00;01;CNPJ                ;00;10"
E:\pdet\00_raw\pdet\microdados\RAIS\2010\AM2010.7z,AM2010.txt,275849946,RAIS_VINCULOS,2010,AM,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};           {ñ class};           {ñ class};99;99;99;11;717020;41204;45217;           {ñ class};0;06;06;00;02;05;                  01;  44;  41;0;0;00;03;000000;130260;10;2062;0;   5;08;0000;0000000000,00;000000,00;0000000537,94;000001,05;4120400;                  01;06;    24,4;00;01;CNPJ                ;00;10"
E:\pdet\00_raw\pdet\microdados\RAIS\2010\AP2010.7z,AP2010.txt,48557133,RAIS_VINCULOS,2010,AP,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};           {ñ class};           {ñ class};99;99;99;11;717020;47539;52426;           {ñ class};0;05;06;00;03;04;                  01;  44;  35;0;0;00;05;000000;160030;10;2062;0;   0;08;0000;0000000000,00;000000,00;0000000903,35;000001,76;4753900;                  01;08;    18,2;00;01;CNPJ                ;00;10"
E:\pdet\00_raw\pdet\microdados\RAIS\2010\BA2010.7z,BA2010.txt,1019794923,RAIS_VINCULOS,2010,BA,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};           {ñ class};           {ñ class};99;99;99;11;717020;43916;45128;           {ñ class};0;07;06;00;99;06;                  01;  44;  63;0;0;00;02;291900;292740;10;2062;0;   0;08;0000;0000000000,00;000000,00;0000000000,00;000000,00;4391600;                  01;04;    48,8;00;01;CNPJ                ;00;10"
E:\pdet\00_raw\pdet\microdados\RAIS\2010\CE2010.7z,CE2010.txt,622988793,RAIS_VINCULOS,2010,CE,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};                0022;           {ñ class};99;99;99;11;715505;42995;45292;           {ñ class};0;05;06;00;02;01;                  01;  44;  36;1;0;01;03;230440;230440;10;2062;0;   0;08;0000;0000000000,00;000000,00;0000000628,61;000001,22;4299599;                  01;01;     2,3;04;01;CNPJ                ;00;10"
E:\pdet\00_raw\pdet\microdados\RAIS\2010\DF2010.7z,DF2010.txt,509777784,RAIS_VINCULOS,2010,DF,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};           {ñ class};           {ñ class};99;99;99;11;717020;47318;50504;           {ñ class};0;05;06;00;03;05;                  01;  44;  39;0;0;00;09;000000;530010;10;2062;0;   0;02;0001;0000000000,00;000000,00;0000000888,96;000001,73;4731800;                  01;06;    29,4;00;01;CNPJ                ;00;10"
E:\pdet\00_raw\pdet\microdados\RAIS\2010\ES2010.7z,ES2010.txt,455958990,RAIS_VINCULOS,2010,ES,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};           {ñ class};           {ñ class};99;99;99;21;715210;41204;45217;           {ñ class};0;06;06;00;02;01;                  01;  44;  42;0;0;02;05;320120;320120;10;1015;0;   0;02;0000;0000000000,00;000000,00;0000000683,28;000001,33;4120400;                  01;06;     2,6;02;01;CNPJ                ;00;10"
E:\pdet\00_raw\pdet\microdados\RAIS\2010\ESTB2010.7z,ESTB2010.txt,1858596414,RAIS_ESTAB,2010,,cp1252,';',?,21,RAIS_ESTAB 2014-2017,DIVERGE,"esperava 24 colunas, li 21",Bairros SP;Bairros Fortaleza;Bairros RJ;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Qtd Vínculos CLT;Qtd Vínculos Ativos;Qtd Vínculos Estatutários;Ind Atividade Ano;Ind CEI Vinculado;Ind Estab Participa PAT;Ind Rais Negativa;Ind Simples;Município;Natureza Jurídica;Regiões Adm DF;CNAE 2.0 Subclasse;Tamanho Estabelecimento;Tipo Estab;Tipo Estab,           {ñ class};           {ñ class};           {ñ class};94995;91995;{ñ clas;00000000000000000000;00000000000000000000;00000000000000000000;1;0;0;                   1;0;530010;3999;                0004;9499500;01;01;Cnpj                
E:\pdet\00_raw\pdet\microdados\RAIS\2010\GO2010.7z,GO2010.txt,689292423,RAIS_VINCULOS,2010,GO,cp1252,';',sim,45,RAIS_VINCULOS 2006-2014,OK (nº de colunas) / 1 rótulo(s) diferentes,pos 43: dicionário='Tipo Estab (2a ocorrencia)' arquivo='Tipo Estab',Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo,"           {ñ class};           {ñ class};           {ñ class};99;99;99;21;784205;22293;25291;           {ñ class};0;05;06;00;02;01;                  01;  44;  30;0;0;10;10;000000;520110;10;2062;0;   0;02;0000;0000000000,00;000000,00;0000000676,60;000001,32;2229399;                  01;07;     0,4;02;01;CNPJ                ;00;10"
