base,chave_normalizada,nome_canonico,tipo,anos_presentes,rotulos_brutos
RAIS_DOMESTICO,muntrab,muntrab,,"2015,2016,2017",muntrab
RAIS_DOMESTICO,cdsexo,cdsexo,,"2015,2016,2017",cdsexo
RAIS_DOMESTICO,cdracacor,cdracacor,,"2015,2016,2017",cdracacor
RAIS_DOMESTICO,cdgrauinstr,cdgrauinstr,,"2015,2016,2017",cdgrauinstr
RAIS_DOMESTICO,cdmotivodeslig,cdmotivodeslig,,"2015,2016,2017",cdmotivodeslig
RAIS_DOMESTICO,qtdhrsem,qtdhrsem,,"2015,2016,2017",qtdhrsem
RAIS_DOMESTICO,tpjornada,tpjornada,,"2015,2016,2017",tpjornada
RAIS_DOMESTICO,cdcbo,cdcbo,,"2015,2016,2017",cdcbo
RAIS_DOMESTICO,sexoemp,sexoemp,,"2015,2016,2017",sexoemp
RAIS_DOMESTICO,munemp,munemp,,"2015,2016,2017",munemp
RAIS_DOMESTICO,dtadm,dtadm,,"2015,2016,2017",DtAdm
RAIS_DOMESTICO,dtdes,dtdes,,"2015,2016,2017",DtDes
RAIS_DOMESTICO,indvinculoativo3112,indvinculoativo3112,,"2015,2016,2017",indvinculoativo3112
RAIS_DOMESTICO,ano,ano,,"2015,2016,2017",ano
RAIS_DOMESTICO,idadetrab,idadetrab,,"2015,2016,2017",idadetrab
RAIS_DOMESTICO,idadeemp,idadeemp,,"2015,2016,2017",idadeemp
RAIS_ESTAB,bairros_sp,bairros_sp,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Bairros SP
RAIS_ESTAB,bairros_sp_codigo,bairros_sp_codigo,,"2023,2024,2025",Bairros SP - Código
RAIS_ESTAB,bairros_fortaleza,bairros_fortaleza,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Bairros Fortaleza
RAIS_ESTAB,bairros_fortaleza_codigo,bairros_fortaleza_codigo,,"2023,2024,2025",Bairros Fortaleza - Código
RAIS_ESTAB,bairros_rj,bairros_rj,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Bairros RJ
RAIS_ESTAB,bairros_rj_codigo,bairros_rj_codigo,,"2023,2024,2025",Bairros RJ - Código
RAIS_ESTAB,cnae_2_0_classe,cnae_2_0_classe,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",CNAE 2.0 Classe
RAIS_ESTAB,cnae_2_0_classe_codigo,cnae_2_0_classe_codigo,,"2023,2024,2025",CNAE 2.0 Classe - Código
RAIS_ESTAB,cnae_95_classe,cnae_95_classe,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",CNAE 95 Classe
RAIS_ESTAB,cnae_95_classe_codigo,cnae_95_classe_codigo,,"2023,2024,2025",CNAE 95 Classe - Código
RAIS_ESTAB,distritos_sp,distritos_sp,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Distritos SP
RAIS_ESTAB,distritos_sp_codigo,distritos_sp_codigo,,"2023,2024,2025",Distritos SP - Código
RAIS_ESTAB,qtd_vinculos_clt,qtd_vinculos_clt,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",Qtd Vínculos CLT
RAIS_ESTAB,qtd_vinculos_ativos,qtd_vinculos_ativos,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",Qtd Vínculos Ativos
RAIS_ESTAB,qtd_vinculos_estatutarios,qtd_vinculos_estatutarios,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",Qtd Vínculos Estatutários
RAIS_ESTAB,ind_atividade_ano,ind_atividade_ano,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Ind Atividade Ano
RAIS_ESTAB,ind_atividade_ano_codigo,ind_atividade_ano_codigo,,"2023,2024,2025",Ind Atividade Ano - Código
RAIS_ESTAB,ind_cei_vinculado,ind_cei_vinculado,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Ind CEI Vinculado
RAIS_ESTAB,ind_cei_vinculado_codigo,ind_cei_vinculado_codigo,,"2023,2024,2025",Ind CEI Vinculado - Código
RAIS_ESTAB,ind_estab_participa_pat,ind_estab_participa_pat,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Ind Estab Participa PAT
RAIS_ESTAB,ind_estab_participante_pat_codigo,ind_estab_participante_pat_codigo,,"2023,2024,2025",Ind Estab Participante PAT - Código
RAIS_ESTAB,ind_rais_negativa,ind_rais_negativa,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Ind Rais Negativa
RAIS_ESTAB,ind_rais_negativa_codigo,ind_rais_negativa_codigo,,"2023,2024,2025",Ind RAIS Negativa - Código
RAIS_ESTAB,ind_simples,ind_simples,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Ind Simples
RAIS_ESTAB,ind_estab_participante_simples_codigo,ind_estab_participante_simples_codigo,,"2023,2024,2025",Ind Estab Participante SIMPLES - Código
RAIS_ESTAB,municipio,municipio,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Município
RAIS_ESTAB,municipio_codigo,municipio_codigo,,"2023,2024,2025",Município - Código
RAIS_ESTAB,natureza_juridica,natureza_juridica,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Natureza Jurídica
RAIS_ESTAB,natureza_juridica_codigo,natureza_juridica_codigo,,"2023,2024,2025",Natureza Jurídica - Código
RAIS_ESTAB,regioes_adm_df,regioes_adm_df,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Regiões Adm DF
RAIS_ESTAB,regiao_adm_df_codigo,regiao_adm_df_codigo,,"2023,2024,2025",Região Adm DF - Código
RAIS_ESTAB,cnae_2_0_subclasse,cnae_2_0_subclasse,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",CNAE 2.0 Subclasse
RAIS_ESTAB,cnae_2_0_subclasse_codigo,cnae_2_0_subclasse_codigo,,"2023,2024,2025",CNAE 2.0 Subclasse - Codigo
RAIS_ESTAB,tamanho_estabelecimento,tamanho_estabelecimento,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Tamanho Estabelecimento
RAIS_ESTAB,tamanho_estabelecimento_codigo,tamanho_estabelecimento_codigo,,"2023,2024,2025",Tamanho Estabelecimento - Código
RAIS_ESTAB,tipo_estab,tipo_estab,,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Tipo Estab
